yellow,Sun,1.989,30,0,0,0
red,Venus,4.8685,24,0.723,-35.02,3
blue,Earth,5.9742,24,-1,29.783,3
grey,Mercury,3.285,23,0.307,47.4,3
red,Mars,6.39,23,1.666,24.1,3
orange,Jupiter,1.9,27,5.455,13.1,3
orange,Saturn,5.683,26,10.044,9.6,3
lightblue,Uranus,8.681,25,20.07,6.8,3
blue,Neptune,1.03,26,30.06,5.4,3
grey,Pluto,1.46,22,49.33,4.74,3
